Year,NOC,Athletes,Total_Medals,Efficiency
2008,MAS,32,42,1.3125
2008,MAW,4,4,1.0
2008,MDA,29,30,1.0344827586206897
2008,MDV,4,4,1.0
2008,MEX,83,103,1.2409638554216869
2008,MGL,28,31,1.1071428571428572
2008,MHL,5,5,1.0
2008,MKD,7,7,1.0
2008,MLI,17,17,1.0
2008,MLT,6,6,1.0
2008,MNE,19,20,1.0526315789473684
2008,MON,5,5,1.0
2008,MOZ,4,4,1.0
2008,MRI,11,11,1.0
2008,MTN,2,2,1.0
2008,MYA,6,7,1.1666666666666667
2008,NAM,10,11,1.1
2008,NCA,6,7,1.1666666666666667
2008,NED,237,283,1.1940928270042195
2008,NEP,8,8,1.0
2008,NGR,74,89,1.2027027027027026
2008,NIG,4,4,1.0
2008,NOR,84,102,1.2142857142857142
2008,NRU,1,1,1.0
2008,NZL,178,201,1.1292134831460674
2008,OMA,4,4,1.0
2008,PAK,21,22,1.0476190476190477
2008,PAN,5,5,1.0
2008,PAR,7,7,1.0
2008,PER,13,13,1.0
2008,PHI,15,17,1.1333333333333333
2008,PLE,4,4,1.0
2008,PLW,5,5,1.0
2008,PNG,7,9,1.2857142857142858
2008,POL,257,316,1.2295719844357977
2008,POR,77,87,1.12987012987013
2008,PRK,58,66,1.1379310344827587
2008,PUR,22,31,1.4090909090909092
2008,QAT,20,20,1.0
2008,ROU,101,172,1.702970297029703
2008,RSA,134,179,1.335820895522388
2008,RUS,454,600,1.3215859030837005
2008,RWA,4,4,1.0
2008,SAM,6,7,1.1666666666666667
2008,SEN,15,17,1.1333333333333333
2008,SEY,9,10,1.1111111111111112
2008,SGP,25,36,1.44
2008,SKN,4,6,1.5
2008,SLE,3,3,1.0
2008,SLO,61,73,1.1967213114754098
2008,SMR,4,4,1.0
2008,SOL,3,3,1.0
2008,SOM,2,2,1.0
2008,SRB,87,97,1.1149425287356323
2008,SRI,8,9,1.125
2008,STP,3,4,1.3333333333333333
2008,SUD,9,9,1.0
2008,SUI,83,116,1.3975903614457832
2008,SUR,4,4,1.0
2008,SVK,57,67,1.1754385964912282
2008,SWE,123,169,1.3739837398373984
2008,SWZ,4,4,1.0
2008,SYR,7,7,1.0
2008,TAN,9,9,1.0
2008,TGA,3,3,1.0
2008,THA,47,53,1.127659574468085
2008,TJK,15,16,1.0666666666666667
2008,TKM,10,10,1.0
2008,TLS,1,1,1.0
2008,TOG,4,4,1.0
2008,TPE,79,92,1.1645569620253164
2008,TTO,28,35,1.25
2008,TUN,26,29,1.1153846153846154
2008,TUR,67,71,1.0597014925373134
2008,TUV,3,3,1.0
2008,UAE,8,9,1.125
2008,UGA,11,11,1.0
2008,UKR,243,327,1.345679012345679
2008,URU,12,13,1.0833333333333333
2008,USA,588,763,1.2976190476190477
2008,UZB,56,69,1.2321428571428572
2008,VAN,3,3,1.0
2008,VEN,108,126,1.1666666666666667
2008,VIE,13,18,1.3846153846153846
2008,VIN,2,2,1.0
2008,YEM,5,8,1.6
2008,ZAM,8,8,1.0
2008,ZIM,13,16,1.2307692307692308
2010,ALB,1,2,2.0
2010,ALG,1,1,1.0
2010,AND,6,20,3.3333333333333335
2010,ARG,7,20,2.857142857142857
2010,ARM,4,6,1.5
2010,AUS,40,49,1.225
2010,AUT,75,132,1.76
2010,AZE,2,4,2.0
2010,BEL,8,10,1.25
2010,BER,1,1,1.0
2010,BIH,5,10,2.0
2010,BLR,47,95,2.021276595744681
2010,BRA,5,7,1.4
2010,BUL,19,41,2.1578947368421053
