Year,NOC,Athletes,Total_Medals,Efficiency
2016,BRN,33,33,1.0
2016,BRU,3,3,1.0
2016,BUL,51,58,1.1372549019607843
2016,BUR,5,5,1.0
2016,CAF,6,6,1.0
2016,CAM,6,6,1.0
2016,CAN,310,405,1.3064516129032258
2016,CAY,5,5,1.0
2016,CGO,10,10,1.0
2016,CHA,2,2,1.0
2016,CHI,42,47,1.119047619047619
2016,CHN,392,499,1.2729591836734695
2016,CIV,12,15,1.25
2016,CMR,22,22,1.0
2016,COD,4,4,1.0
2016,COK,9,9,1.0
2016,COL,143,157,1.097902097902098
2016,COM,4,4,1.0
2016,CPV,5,5,1.0
2016,CRC,11,12,1.0909090909090908
2016,CRO,85,93,1.0941176470588236
2016,CUB,117,143,1.2222222222222223
2016,CYP,15,21,1.4
2016,CZE,104,135,1.2980769230769231
2016,DEN,119,143,1.2016806722689075
2016,DJI,7,8,1.1428571428571428
2016,DMA,2,2,1.0
2016,DOM,26,30,1.1538461538461537
2016,ECU,37,40,1.0810810810810811
2016,EGY,121,137,1.1322314049586777
2016,ERI,12,12,1.0
2016,ESA,8,10,1.25
2016,ESP,307,363,1.1824104234527688
2016,EST,46,49,1.065217391304348
2016,ETH,37,38,1.027027027027027
2016,FIJ,53,53,1.0
2016,FIN,54,67,1.2407407407407407
2016,FRA,392,512,1.3061224489795917
2016,FSM,5,5,1.0
2016,GAB,6,6,1.0
2016,GAM,4,4,1.0
2016,GBR,360,478,1.3277777777777777
2016,GBS,5,5,1.0
2016,GEO,40,45,1.125
2016,GEQ,1,1,1.0
2016,GER,418,536,1.2822966507177034
2016,GHA,13,15,1.1538461538461537
2016,GRE,92,104,1.1304347826086956
2016,GRN,6,6,1.0
2016,GUA,21,25,1.1904761904761905
2016,GUI,5,5,1.0
2016,GUM,5,5,1.0
2016,GUY,6,7,1.1666666666666667
2016,HAI,10,10,1.0
2016,HKG,37,47,1.2702702702702702
2016,HON,23,23,1.0
2016,HUN,154,204,1.3246753246753247
2016,INA,28,31,1.1071428571428572
2016,IND,112,130,1.1607142857142858
2016,IOA,9,9,1.0
2016,IRI,63,67,1.0634920634920635
2016,IRL,76,93,1.2236842105263157
2016,IRQ,20,20,1.0
2016,ISL,8,14,1.75
2016,ISR,47,59,1.2553191489361701
2016,ISV,7,7,1.0
2016,ITA,309,399,1.2912621359223302
2016,IVB,4,4,1.0
2016,JAM,56,77,1.375
2016,JOR,8,8,1.0
2016,JPN,335,436,1.3014925373134327
2016,KAZ,101,123,1.2178217821782178
2016,KEN,79,80,1.0126582278481013
2016,KGZ,19,19,1.0
2016,KIR,3,3,1.0
2016,KOR,207,263,1.2705314009661837
2016,KOS,8,8,1.0
2016,KSA,10,11,1.1
2016,LAO,5,5,1.0
2016,LAT,32,33,1.03125
2016,LBA,7,7,1.0
2016,LBR,2,3,1.5
2016,LCA,5,5,1.0
2016,LES,8,9,1.125
2016,LIB,9,9,1.0
2016,LIE,3,3,1.0
2016,LTU,67,80,1.1940298507462686
2016,LUX,10,15,1.5
2016,MAD,6,6,1.0
2016,MAR,48,52,1.0833333333333333
2016,MAS,32,42,1.3125
2016,MAW,5,5,1.0
2016,MDA,23,23,1.0
2016,MDV,4,4,1.0
2016,MEX,123,139,1.1300813008130082
2016,MGL,43,46,1.069767441860465
2016,MHL,5,5,1.0
2016,MKD,6,6,1.0
2016,MLI,6,6,1.0
2016,MLT,7,8,1.1428571428571428
2016,MNE,35,35,1.0
2016,MON,3,8,2.6666666666666665
2016,MOZ,6,8,1.3333333333333333
2016,MRI,11,11,1.0
2016,MTN,2,2,1.0
2016,MYA,7,8,1.1428571428571428
2016,NAM,10,11,1.1
2016,NCA,5,5,1.0
2016,NED,237,329,1.3881856540084387
2016,NEP,7,7,1.0
2016,NGR,71,77,1.0845070422535212
2016,NIG,6,6,1.0
2016,NOR,62,77,1.2419354838709677
2016,NRU,2,2,1.0
2016,NZL,195,232,1.1897435897435897
2016,OMA,4,4,1.0
2016,PAK,7,7,1.0
2016,PAN,10,14,1.4
2016,PAR,11,11,1.0
2016,PER,29,34,1.1724137931034482
2016,PHI,13,13,1.0
2016,PLE,6,6,1.0
2016,PLW,5,6,1.2
2016,PNG,8,8,1.0
2016,POL,234,289,1.235042735042735
2016,POR,90,106,1.1777777777777778
2016,PRK,31,38,1.2258064516129032
2016,PUR,40,41,1.025
2016,QAT,37,42,1.135135135135135
2016,ROT,10,12,1.2
2016,ROU,95,121,1.2736842105263158
2016,RSA,135,155,1.1481481481481481
2016,RUS,284,406,1.4295774647887325
2016,RWA,7,7,1.0
2016,SAM,8,9,1.125
2016,SEN,22,22,1.0
2016,SEY,10,10,1.0
2016,SGP,25,32,1.28
2016,SKN,6,9,1.5
2016,SLE,4,4,1.0
2016,SLO,63,70,1.1111111111111112
2016,SMR,4,4,1.0
2016,SOL,3,3,1.0
2016,SOM,2,2,1.0
2016,SRB,103,127,1.233009708737864
2016,SRI,9,10,1.1111111111111112
2016,SSD,3,3,1.0
2016,STP,3,3,1.0
2016,SUD,6,6,1.0
2016,SUI,102,152,1.4901960784313726
2016,SUR,6,6,1.0
2016,SVK,51,63,1.2352941176470589
2016,SWE,150,186,1.24
2016,SWZ,2,2,1.0
2016,SYR,7,7,1.0
2016,TAN,7,7,1.0
2016,TGA,7,7,1.0
2016,THA,54,58,1.0740740740740742
2016,TJK,7,7,1.0
2016,TKM,9,9,1.0
2016,TLS,3,3,1.0
2016,TOG,5,5,1.0
2016,TPE,55,67,1.2181818181818183
2016,TTO,28,43,1.5357142857142858
2016,TUN,61,65,1.0655737704918034
2016,TUR,100,119,1.19
2016,TUV,1,1,1.0
2016,UAE,12,12,1.0
2016,UGA,21,23,1.0952380952380953
2016,UKR,204,272,1.3333333333333333
2016,URU,17,17,1.0
2016,USA,555,719,1.2954954954954956
2016,UZB,70,80,1.1428571428571428
2016,VAN,4,4,1.0
2016,VEN,85,105,1.2352941176470589
2016,VIE,22,28,1.2727272727272727
2016,VIN,4,4,1.0
2016,YEM,3,3,1.0
2016,ZAM,7,7,1.0
2016,ZIM,30,31,1.0333333333333334
